ประกอบกิจการ,รหัสจังหวัด,อำเภอ,TSIC,รหัสประเภท,ถนน,ซอย,คนงานรวม,หญิง,ชาย,จังหวัด,หมู่,ประเภท,ปี,เลขทะเบียนโรงงาน,แรงม้ารวม,ระดับ,ตำบล,_id,รหัสทะเบียนโรงงาน FID,ชื่อโรงงาน,ชื่อเจ้าของ,จำพวก,ปีที่ได้รับอนุญาต,รหัสไปรษณีย์,พื้นที่โรงงาน(ตร.ม.)
ผลิตอุปกรณ์หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์,63,แม่สอด,26402,7200,,,280,179,101,ตาก,6,72,2565,จ3-72-19/60ตก,35.93,ต่ำ,ท่าสายลวด,72,20630000000000,บริษัท ไทย ทีเอ็นซี จำกัด,บริษัท ไทย ทีเอ็นซี จำกัด,3,60,63110,"3,486"
ผลิตอุปกรณ์หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์ ,63,แม่สอด,26402,7200,สองแคว,,221,125,96,ตาก,,72,2565,จ3-72-15/60ตก,69.21,ต่ำ,แม่สอด,73,20630100000000,บริษัท ทีพีพี แมนูแฟคเจอร์ริ่ง จำกัด,บริษัท ทีพีพี แมนูแฟคเจอร์ริ่ง จำกัด,3,60,63110,"7,900"
ผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็กทรอนิกส์,63,แม่สอด,26402,7200,,,290,250,40,ตาก,2,72,2565,จ3-72-12/59ตก,86.32,ต่ำ,พระธาตุผาแดง,74,20630100000000,บริษัท อินเตอร์ นิตติ้ง จำกัด,บริษัท อินเตอร์ นิตติ้ง จำกัด,3,59,63110,"10,722"
ผลิตอุปกรณ์ หรือชิ้นส่วนสำหรับใช้กับเครื่องอิเล็คทรอนิกส์,63,แม่สอด,26402,7200,,,180,100,80,ตาก,8,72,2565,จ3-72-17/60ตก,12.29,ต่ำ,แม่ปะ,75,20630000000000,ไทย ที จี กรุ๊ป,ไทย ที จี กรุ๊ป,3,60,63110,"1,200"
ผลิตกระแสไฟฟ้าเพื่อจำหน่าย,63,ท่าสองยาง,35101,8800,ศรีวัฒนา,,2, -   ,2,ตาก,,88,2565,3-88-4/41ตก,"1,132.00",ต่ำ,แม่ต้าน,76,10630000000000,การไฟฟ้าส่วนภูมิภาค อำเภอท่าสองยาง,การไฟฟ้าส่วนภูมิภาค อำเภอท่าสองยาง,3,41,63150, -   
ผลิตพลังงานไฟฟ้า ขนาดกำลังการผลิต 16.0 เมกะวัตต์,63,แม่สอด,35101,8800,,,41,1,40,ตาก,6,88,2565,3-88-67/53ตก,"31,104.00",ต่ำ,แม่ตาว,77,10630000000000,บริษัท แม่สอดพลังงานสะอาด จำกัด,บริษัท แม่สอดพลังงานสะอาด จำกัด,3,53,63110,"936,912"
ผลิต ส่ง และจำหน่ายพลังงานไฟฟ้า 0.952 เมกะวัตต์,63,แม่สอด,35101,8800,แม่สอด-แม่ระมาด,,3, -   ,3,ตาก,8,88,2565,3-88-45/54ตก,"1,280.00",ต่ำ,แม่กาษา,78,10630000000000,บริษัท ไทยวา จำกัด (มหาชน),บริษัท ไทยวา จำกัด (มหาชน),3,54,63110,240
ผลิตกระแสไฟฟ้า,63,สามเงา,35101,8800,,,504,178,326,ตาก,6,88,2565,3-88-1/40ตก,"982,546.30",ต่ำ,สามเงา,79,10630100000000,โรงไฟฟ้าพลังน้ำเขื่อนภูมิพล,โรงไฟฟ้าพลังน้ำเขื่อนภูมิพล,3,40,63130,"1,283,200"
ผลิตกระแสไฟฟ้าเพื่อจำหน่าย,63,อุ้มผาง,35101,8800,ประเวสไพรวัน,,4, -   ,4,ตาก,1,88,2565,3-88-3/41ตก,"2,277.00",ต่ำ,อุ้มผาง,80,10630000000000,การไฟฟ้าส่วนภูมิภาค อำเภออุ้มผาง,การไฟฟ้าส่วนภูมิภาค อำเภออุ้มผาง,3,41,63170, -   
ผลิตก๊าซชีวภาพ,63,เมืองตาก,20111,8900,,,15,2,13,ตาก,5,89,2565,จ3-89-26/57ตก,162.5,ต่ำ,ไม้งาม,81,20630000000000,บริษัท เอส เค อินเตอร์ ฟู๊ด จำกัด,บริษัท เอส เค อินเตอร์ ฟู๊ด จำกัด,3,57,63000,"3,000"
ผลิต ส่ง และจำหน่ายก๊าซชีวภาพ ขนาด 24000 ลบ.ม./วัน,63,แม่สอด,20111,8900,แม่สอด-แม่ระมาด,,3,1,2,ตาก,8,89,2565,จ3-89-13/52ตก,177.8,ต่ำ,แม่กาษา,82,20630000000000,บริษัท ไทยวา จำกัด (มหาชน),บริษัท ไทยวา จำกัด (มหาชน),3,52,63110, -   
ห้องเย็น,63,พบพระ,52101,9200,,,10,2,8,ตาก,6,92,2565,จ3-92-4/51ตก,76,ต่ำ,ช่องแคบ,83,20630100000000,บริษัท เกษมสันต์ จำกัด,บริษัท เกษมสันต์ จำกัด,3,51,63160,"3,200"
ห้องเย็น,63,เมืองตาก,52101,9200,,,6,2,4,ตาก,5,92,2565,จ3-92-20/61ตก,294.42,ต่ำ,ไม้งาม,84,20630000000000,บริษัท เอส เค อินเตอร์ ฟู๊ด จำกัด,บริษัท เอส เค อินเตอร์ ฟู๊ด จำกัด,3,61,63000,"14,400"
ผลิตเส้นขนมจีน,63,แม่สอด,10743,1003,,,8,8, -   ,ตาก,6,10(3),2565,จ3-10(3)-6/49ตก,215.3,ต่ำ,ท่าสายลวด,85,20630000000000,,นางสาวอักษราภัค ทองพิทักษ์พงษ์,3,49,63110,"4,800"
"การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์ , การป่นหรือบดพืช เมล็ดพืช กากพืช เนื้อสัตว์ กระดูกสัตว์ ขนสัตว์ หรือเปลือกหอยสำหรับทำหรือผสมเป็นอาหารสัตว์ ",63,เมืองตาก,10801,1501,,,8,1,7,ตาก,4,15(1),2565,จ3-15(1)-15/57ตก,452.6,ต่ำ,ไม้งาม,86,20630100000000,ห้างหุ้นส่วนจำกัด เสริมกสิกิจ,ห้างหุ้นส่วนจำกัด เสริมกสิกิจ,3,57,63000,910
การผสมอาหารสำหรับเลี้ยงสัตว์ การป่นหรือบดพืช เมล็ดพืช กากพืช สำหรับผสมเป็นอาหารสัตว์,63,วังเจ้า,10801,1501,,,8,2,6,ตาก,2,15(1),2565,จ3-15(1)-15/60ตก,80,ต่ำ,ประดาง,87,20630000000000,วาสนาพาณิช,วาสนาพาณิช,3,60,63000,"22,540"
อบพืช เช่น บุก,63,ท่าสองยาง,1630,201,,,25,10,15,ตาก,1,2(1),2565,จ3-2(1)-58/57ตก,249.5,สูง,แม่ต้าน,88,20630000000000,บริษัท ไทย คอนยัค จำกัด,บริษัท ไทย คอนยัค จำกัด,3,57,63150,"6,712"
อบพืชหรือเมล็ดพืช เช่น บุก,63,ท่าสองยาง,1630,201,แม่สอด-แม่สะเรียง,,30,15,15,ตาก,6,2(1),2565,จ3-2(1)-21/60ตก,93,สูง,แม่อุสุ,89,20630000000000,ถาวรรับซื้อบุก,ถาวรรับซื้อบุก,3,60,63150,"80,000"
อบพืช เช่น บุก,63,ท่าสองยาง,1630,201,,,30,10,20,ตาก,5,2(1),2565,จ3-2(1)-17/58ตก,126,สูง,แม่ต้าน,90,20630000000000,บริษัท สยามเอเชีย เวิร์ค โปรดักซ์ จำกัด,บริษัท สยามเอเชีย เวิร์ค โปรดักซ์ จำกัด,3,58,63150,"6,003"
อบพืช เช่น บุก,63,ท่าสองยาง,1630,201,,,20, -   ,20,ตาก,1,2(1),2565,จ3-2(1)-57/57ตก,196,สูง,แม่ต้าน,91,20630000000000,บริษัท ไทย คอนยัค จำกัด,บริษัท ไทย คอนยัค จำกัด,3,57,63150,"23,780"
อบพืช หรือเมล็ดพืช เช่น บุก,63,ท่าสองยาง,1630,201,,,20,10,10,ตาก,5,2(1),2565,จ3-2(1)-9/60ตก,246.61,สูง,แม่ต้าน,92,20630000000000,บริษัท สยามเอเซีย เวิร์ค โปรดักซ์ จำกัด,บริษัท สยามเอเซีย เวิร์ค โปรดักซ์ จำกัด,3,60,63150,"6,012"
อบพืช หรือเมล็ดพืช เช่น บุก,63,ท่าสองยาง,1630,201,,,50,30,20,ตาก,2,2(1),2565,จ3-2(1)-7/60ตก,140.81,สูง,แม่ต้าน,93,20630000000000,บริษัท 99 ไทย คอนจัค จำกัด,บริษัท 99 ไทย คอนจัค จำกัด,3,60,63150,"14,212"
อบพืช เช่น บุก,63,ท่าสองยาง,1630,201,,,20, -   ,20,ตาก,3,2(1),2565,จ3-2(1)-56/57ตก,98,สูง,แม่อุสุ,94,20630000000000,บริษัท ไทย คอนยัค จำกัด,บริษัท ไทย คอนยัค จำกัด,3,57,63150,"17,000"
อบพืชหรือเมล็ดพืช เช่น ข้าวโพด,63,พบพระ,1630,201,,,6, -   ,6,ตาก,1,2(1),2565,จ3-2(1)-59/53ตก,76,สูง,พบพระ,95,20630000000000,ห้างห้นส่วนจำกัด พีพี.ธุรกิจการเกษตร,ห้างห้นส่วนจำกัด พีพี.ธุรกิจการเกษตร,3,53,63160,"11,568"
การอบพืชหรือเมล็ดพืช,63,พบพระ,1630,201,ดอนเจดีย์-วาเลย์,-,40,3,37,ตาก,1,2(1),2565,จ3-2(1)-62/48ตก,225,สูง,พบพระ,96,20630000000000,ชัยสมบูรณ์ไซโล,ชัยสมบูรณ์ไซโล,3,48,63160,"48,000"
อบพืชหรือเมล็ดพืช เช่น ข้าวโพด,63,เมืองตาก,1630,201,จรดวิถีถ่อง,,16, -   ,16,ตาก,12,2(1),2565,จ3-2(1)-7/55ตก,152,สูง,วังประจบ,97,20630000000000,ห้างหุ้นส่วนจำกัด ไทยดำรงค์ อะโกร,ห้างหุ้นส่วนจำกัด ไทยดำรงค์ อะโกร,3,55,63000,"32,000"
อบพืช เช่น บุก,63,แม่ระมาด,1630,201,,,5, -   ,5,ตาก,2,2(1),2565,จ3-2(1)-42/61ตก,384,สูง,ขะเนจื้อ,98,20630000000000,,นายชาลี อู่ตะเภา,3,61,63140,"13,000"
อบพืช เช่น บุก,63,แม่ระมาด,1630,201,,,50,30,20,ตาก,2,2(1),2565,จ3-2(1)-38/57ตก,598.35,สูง,ขะเนจื้อ,99,20630000000000,บริษัท ยูเนี่ยน ไทยคอนยัค จำกัด,บริษัท ยูเนี่ยน ไทยคอนยัค จำกัด,3,57,63140,"13,000"
การอบพืช หรือเมล็ดพืช การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดัง หรือคลังสินค้า ,63,แม่ระมาด,1630,201,,,31, -   ,31,ตาก,7,2(1),2565,จ3-2(1)-55/57ตก,330,สูง,แม่จะเรา,100,20630000000000,บริษัท พืชผลสุวรรณภูมิ จำกัด,บริษัท พืชผลสุวรรณภูมิ จำกัด,3,57,63140,"168,018"
อบพืชหรือเมล็ดพืช,63,แม่ระมาด,1630,201,-,-,20, -   ,20,ตาก,1,2(1),2565,จ3-2(1)-26/50ตก,174.5,สูง,แม่ระมาด,101,20630000000000,,นางจันวัน บูลย์ประมุข,3,50,63140,"30,400"
อบพืช หรือเมล็ดพืช,63,แม่ระมาด,1630,201,สายบ้านต้นผึ้ง-บ้านคืนธาตุ,,9,1,8,ตาก,5,2(1),2565,จ3-2(1)-32/61ตก,490,สูง,พระธาตุ,102,20630000000000,นายสิงห์ อินถานนท์,นายสิงห์ อินถานนท์,3,61,63140,"12,120"
การอบพืชหรือเมล็ดพืช,63,แม่สอด,1630,201,-,-,20, -   ,20,ตาก,1,2(1),2565,จ3-2(1)-2/46ตก,359.5,สูง,แม่กาษา,103,20630000000000,บริษัท เอนกธัญกิจ จำกัด,บริษัท เอนกธัญกิจ จำกัด,3,46,63110,"49,944"
"อบพืชหรือเมล็ดพืช และการเก็บรักษาผลิตผลจากพืชในไซโล, โกดังหรือคลังสินค้า",63,แม่สอด,1630,201,,,20,5,15,ตาก,3,2(1),2565,จ3-2(1)-3/54ตก,330,สูง,แม่กุ,104,20630000000000,บริษัท พืชผลสุวรรณภูมิ จำกัด,บริษัท พืชผลสุวรรณภูมิ จำกัด,3,54,63110,"6,480"
การอบพืชหรือเมล็ดพืช การอบไม้,63,แม่สอด,1630,201,,,25, -   ,25,ตาก,9,2(1),2565,จ3-2(1)-3/52ตก,489.8,สูง,แม่กาษา,105,20630000000000,บริษัท เค.พี อะโกร อินดัสทรี้ จำกัด,บริษัท เค.พี อะโกร อินดัสทรี้ จำกัด,3,52,63110,"1,500"
อบพืช และลำเลียง เก็บรักษาพืชหรือเมล็ดพืชในโกดัง,63,แม่สอด,1630,201,,,20, -   ,20,ตาก,5,2(1),2565,จ3-2(1)-4/55ตก,397.5,สูง,มหาวัน,106,20630000000000,บุญช่วยพืชผล,บุญช่วยพืชผล,3,55,63110,"29,360"
อบพืชหรือเมล็ดพืช,63,แม่สอด,1630,201,,,2, -   ,2,ตาก,5,2(1),2565,จ3-2(1)-1/44ตก,135.4,สูง,แม่กาษา,107,20630000000000,โรงงานปรับปรุงประสิทธิภาพและคุณภาพเมล็ดพันธ์,โรงงานปรับปรุงประสิทธิภาพและคุณภาพเมล็ดพันธ์,3,44,63110,"30,000"
อบพืช หรือเมล็ดพืช,63,แม่สอด,1630,201,,,32,10,22,ตาก,8,2(1),2565,จ3-2(1)-43/57ตก,118.28,สูง,แม่กาษา,108,20630000000000,บริษัท เอเชีย เคจีเอ็ม จำกัด,บริษัท เอเชีย เคจีเอ็ม จำกัด,3,57,63110,"3,267"
