ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,DESCR,SCURVE,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
"ทำน้ำดื่มบรรจุขวด,ถัง,แก้ว",โพทะเล,2001,การทำน้ำดื่ม,,,20700000000000,14,15,5,อุตสาหกรรมแปรรูปอาหาร,พิจิตร,1,17,177.1,2562,ท่าขมิ้น,จ3-20(1)-23/62พจ,บริษัท น้ำดื่มรวงข้าว จำกัด,10340,บริษัท น้ำดื่มรวงข้าว จำกัด,3,66130
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 12 เกวียน/วัน,หนองหญ้าไซ,901,การสี ฝัด หรือขัดข้าว,วัดหนองโพธิ์,,20700000000000,0,2,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,1,124,75,2534,หนองโพธิ์,จ3-9(1)-1/34สพ,นางมลิศา หิรัญวงศ์,10341,,3,72240
ไก่ชำแหละ (ทำไก่ย่าง)ฆ่าไก่ และอาหารสัตว์,สองพี่น้อง,406,การล้าง ชำแหละ แกะ ต้ม นึ่ง ทอด หรือบดสัตว์ หรือส่วนหนึ่งส่วนใดของสัตว์,สายทุ่งคอก-ดอนตาเพชร,,20700000000000,79.1,2205,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,3,61,7955.2,2539,บ่อสุพรรณ,จ3-4(6)-1/39สพ,บริษัท เอฟ แอนด์ เอฟ ฟู้ด จำกัด,10342,บริษัท เอฟ แอนด์ เอฟ ฟู้ด จำกัด,3,72190
ต่อตัวถังรถบรรทุก,สองพี่น้อง,7701,การสร้าง ประกอบ ดัดแปลง หรือเปลี่ยนแปลงสภาพรถยนต์หรือรถพ่วง,,,20700000000000,17,18,3,อุตสาหกรรมยานยนต์,สุพรรณบุรี,6,159,224.83,2558,ดอนมะนาว,จ3-77(1)-1/58สพ,บริษัท พี เจ วัน จำกัด,10343,บริษัท พี เจ วัน จำกัด,3,72110
ทำน้ำแข็งก้อนเล็กและน้ำดื่ม,ดอนเจดีย์,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,อู่ยา-ดอนเจดีย์,-,20700000000000,2.5,3,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,5,788,597.34,2536,ดอนเจดีย์,จ3-14-2/36สพ,ห้างหุ้นส่วนจำกัด ทองวิไล,10344,ห้างหุ้นส่วนจำกัด ทองวิไล,3,72170
ทำน้ำแข็ง,สามชุก,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,บางขวาก-วัดท่าพิกุลทอง,,20700000000000,11.9,3,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,1,91/8,422,2539,ย่านยาว,จ3-14-2/39สพ,นายเอนก อุบล,10345,โรงน้ำแข็งอุดมสุข,3,72130
สีข้าว ชนิดแยกแกลบแยกรำ,บางปลาม้า,901,การสี ฝัด หรือขัดข้าว,คอวัง-บ้านรางบัว,,20700000000000,14.5,9,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,3,136/2,222,2541,วัดดาว,จ3-9(1)-3/41สพ,ห้างหุ้นส่วนจำกัด สุพรรณธัญชาติ,10346,ห้างหุ้นส่วนจำกัด สุพรรณธัญชาติ ,3,72150
ผลิตเกี่ยวกับเครื่องปรุงกลิ่น-รส อาหาร,สามชุก,1302,การทำเครื่องปรุงกลิ่น รส หรือสีของอาหาร,-,-,20700000000000,42.5,30,5,อุตสาหกรรมแปรรูปอาหาร,สุพรรณบุรี,1,40,2470.4,2550,วังลึก,จ3-13(2)-4/50สพ,บริษัท เอเชียน สุพรีม ฟู้ด จำกัด,10347,บริษัท เอเชียน สุพรีม ฟู้ด จำกัด,3,72130
สีข้าว (กำลังการผลิต 300 เกวียน/วัน),คำเขื่อนแก้ว,901,การสี ฝัด หรือขัดข้าว,คำเขื่อนแก้ว-มหาชนะชัย,-,20400000000000,137.5,20,5,อุตสาหกรรมแปรรูปอาหาร,ยโสธร,1,637,357.9,2552,ลุมพุก,จ3-9(1)-72/52ยส,บริษัท กิมมน จำกัด,10348,บริษัท กิมมน จำกัด,3,35110
ผลิตสายไฟฟ้าทุกชนิด,เมืองปทุมธานี,7402,โรงงานประกอบกิจการเกี่ยวกับอุปกรณ์ไฟฟ้า การทำลวดหรือสายเคเบิลหุ้มฉนวน,สายวัดโคก,,20100000000000,81.546,25,4,อุตสาหกรรมอิเล็กทรอนิกส์,ปทุมธานี,,153,496,2555,บางปรอก,จ3-74(2)-1/55ปท,บริษัท ไทยเอเซียเคเบิ้ล จำกัด,10349,บริษัท ไทยเอเซียเคเบิ้ล จำกัด,3,12000
ผลิตและประกอบเครื่องใช้ไฟฟ้า เช่น พัดลม เครื่องทำน้ำอุ่น เตาอบไมโครเวฟ มอเตอร์พัดลม ส่วนประกอบต่างๆ ของพัดลม,เมืองปทุมธานี,7300,โรงงานผลิต ประกอบหรือดัดแปลง เครื่องมือหรือเครื่องใช้ไฟฟ้าที่ไม่ได้ระบุไว้ในลำดับใด และส่วนประกอบ,เทศปทุม,,20100000000000,70.03,75,4,อุตสาหกรรมอิเล็กทรอนิกส์,ปทุมธานี,1,105/200-1,408.68,2553,บางขะแยง,จ3-73-5/53ปท,บริษัท พรต อินเตอร์เทรด จำกัด,10350,บริษัท พรต อินเตอร์เทรด จำกัด,3,12000
สีข้าว (กำลังสีสูงสุดของร้านสีข้าว 120 เกวียน/วัน),คำเขื่อนแก้ว,901,การสี ฝัด หรือขัดข้าว,แจ้งสนิท,-,20400000000000,45.5,7,5,อุตสาหกรรมแปรรูปอาหาร,ยโสธร,2,201,391.5,2544,ย่อ,จ3-9(1)-3/44ยส,บริษัท รักษนา พรีเมี่ยม ไรซ์ จำกัด,10351,บริษัท รักษนา พรีเมี่ยม ไรซ์ จำกัด,3,35110
