ถนน,คนงานชาย,เลขที่,ซอย,แรงม้า,คนงานรวม,เงินทุนรวม,_id,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,แรงม้าตรวจพบ,ตำบล,อำเภอ,คนงานหญิง,จังหวัด,ผู้ประกอบการ,หมู่
-,6,เลขที่ 504,-,65,6,6570000,75,75,บี.เค.เม็ททอลชีท,ทำผลิตภัณฑ์จากโลหะสำหรับใช้ในการก่อสร้าง เช่น ผลิตหลังคารีดลอน,0,พรหมพิราม,พรหมพิราม,0,พิษณุโลก,นายปิโยวัฒน์ โรจน์คำลือ,1.0
,3,เลขที่ 777,,52,3,3100000,76,76,บริษัท พงษ์เพรช ซัพพลาย จัดกัด,ทำผลิตภัณฑ์โลหะที่ใช้ในการก่อสร้างอาคาร เช่น หลังคาเหล็กแผ่น,0,วังทอง,วังทอง,0,พิษณุโลก,บริษัท พงษ์เพชร ซัพพลาย จำกัด,14.0
-,4,เลขที่ 70/29,-,61.5,7,5000000,77,77,ซี ดับบลิว.พลาสติก แอนด์ สแครปเมทัล,"อัดเศษโลหะและกระดาษ , รับซื้อขวดเพื่อจำหน่ายส่งโรงงาน",0,วัดจันทร์,เมืองพิษณุโลก,3,พิษณุโลก,นายชัยฤกษ์ วงศ์เจริญ,4.0
,2,เลขที่ โฉนดที่ดินเลขที่ 26169,,63,2,700000,78,78,เพชรทวีสิน,กลึง เชื่อมโลหะและซ่อมเครื่องจักรกลการเกษตร,0,วังอิทก,บางระกำ,0,พิษณุโลก,นายสำเนา เพิ่มทวี,8.0
,6,เลขที่ 647,,52.5,15,2950000,79,79,บริษัท คัทแมกซ์ จำกัด,ทำเครื่องใช้แล็กๆ จากโลหะ เช่น ใบมีดกรีดยางพารา,52.5,วังทอง,วังทอง,9,พิษณุโลก,บริษัท คัทแมกซ์ จำกัด,14.0
,4,เลขที่ 41/7,,69.2,4,12000000,80,80,บริษัท เอฟที่เอฟ เทรดดิ้ง จำกัด ,ห้องเย็น,69.2,วัดจันทร์,เมืองพิษณุโลก,0,พิษณุโลก,บริษัท เอฟที่เอฟ เทรดดิ้ง จำกัด ,10.0
,2,เลขที่ 395,,55,2,3900000,81,81,คำปาย,ห้องเย็นเก็บสินค้า เช่น น้ำแข็ง,0,บึงพระ,เมืองพิษณุโลก,0,พิษณุโลก,นายไพรัช นาคมอญ,2.0
,2,เลขที่ 153,,70,2,3500000,82,82,ห้องเย็นโบตั๋นผลไม้เทวดา,ห้องเย็นเก็บสินค้า,0,บ้านป่า,เมืองพิษณุโลก,0,พิษณุโลก,นายณรงค์ศักดิ์ พิณเกษมจิต,6.0
,7,เลขที่ 247/30,,169,12,14800000,83,83,บริษัท ท่าทองรีไซเคิล (2007) จำกัด,คัดแยก เก็บรวบรวม วัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย เช่นเศษโลหะ กระดาษ พลาสติก ขวดแก้ว และอัดเศษโลหะ บดย่อยพลาสติก,,ท่าทอง,เมืองพิษณุโลก,5,พิษณุโลก,บริษัท ท่าทองรีไซเคิล (2007) จำกัด,10.0
,2000000,เลขที่ โฉนดที่ดิน เลขที่ 18036,,4,10000000,,84,84,บริษัท เค.อาร์.เอส.สไปร์ซี่ ฟู้ดส์ จำกัด,"ผลิตเครื่องปรุง ,เครื่องประกอบอาหาร ,บด ,ดอง ,เครื่องแกง ,น้ำจิ้ม",15,แม่ระกา,วังทอง,10000000,พิษณุโลก,บริษัท เค.อาร์.เอส.สไปร์ซี่ ฟู้ดส์ จำกัด,14.0
พุทธบูชา,6,เลขที่ 57,-,660.64,8,16000000,85,85,บริษัท โกลไอซ์ จำกัด,ทำน้ำแข็งซอง ได้วันละ 230 ซอง และน้ำแข็งก้อนเล็ก วันละ 22.55 ตัน,,ในเมือง,เมืองพิษณุโลก,2,พิษณุโลก,บริษัท โกลไอซ์ จำกัด,-
ราเมศวร,0,เลขที่ 53,-,10,9400000,,86,86,กิมกี่น้ำแข็งอนามัย,ทำน้ำแข็งก้อนเล็ก,2,ในเมือง,เมืองพิษณุโลก,0,พิษณุโลก,นายชูเกียรติ ดีไพบูลย์,-
พิษณุโลก-วัดโบสถ์,0,เลขที่ 134/20,-,34,2000000,,87,87,บริษัท โรงน้ำแข็งหลอดวิรัตน์ 1999 จำกัด,ทำน้ำแข็งซอง ได้วันละ 840 ซอง และทำน้ำแข็งก้อนเล้ก เพิ่มขึ้นวันละ 100 ตัน รวมเป็น 186 ตัน,3,หัวรอ,เมืองพิษณุโลก,15000000,พิษณุโลก,บริษัท โรงน้ำแข็งหลอดวิรัตน์ 1999 จำกัด,3.0
พิษณุโลก-พรหมพิราม,27,เลขที่ 149,-,2153,47,41000000,88,88,บริษัท สุนันธารา พิษณุโลก จำกัด,ผลิตน้ำแข็งหลอดและน้ำดื่ม,0,ปากโทก,เมืองพิษณุโลก,20,พิษณุโลก,บริษัท สุนันธารา พิษณุโลก จำกัด,6.0
,0,เลขที่ 85/3,,6,500000,,89,89,ห้างหุ้นส่วนจำกัด ป๊อก ป๊อก ไอซ์,ทำน้ำแข็งก้อนเล็กวันละ 30 ตัน และน้ำแข็งซองวันละ 104 ซอง,2,บึงกอก,บางระกำ,3700000,พิษณุโลก,ห้างหุ้นส่วนจำกัด ป๊อก ป๊อก ไอซ์,12.0
,3,เลขที่ 333/3,,357,4,11500000,90,90,ผลิตน้ำแข็งกองแก้ว,ทำน้ำแข็งก้อนเล็ก 45 ตัน/วัน,357,หนองกุลา,บางระกำ,1,พิษณุโลก,นาย วัสทวุฒิ บุญล้ำ,14.0
ประชาอุทิศ,13,เลขที่ 86,ร่วมใจสามัคคี,874,15,24500000,91,91,โรงน้ำแข็ง พี.ที.ไอซ์,ทำน้ำแข็งก้อนเล็ก,1365,วัดจันทร์,เมืองพิษณุโลก,2,พิษณุโลก,นายลภชัย นิรัติศัย,8.0
นครไทย-บ้านแยง,200000,เลขที่ 155,,6,50000,,92,92,คิวไอซ์,การทำน้ำแข็งก้อนเล็ก 8 ตัน/วัน,3,หนองกะท้าว,นครไทย,480000,พิษณุโลก,นายวิรัตน์ เจริญศรี,10.0
-,900000,เลขที่ 395,-,10,500000,,93,93,คำปาย,ผลิตน้ำแข็งอนามัย,5,บึงพระ,เมืองพิษณุโลก,3500000,พิษณุโลก,นายไพรัช นาคมอญ,2.0
-,0,เลขที่ 194,-,20,1000000,,94,94,โรงงานน้ำแข็งชนะศึก,ผลิตน้ำแข็งก้อนเล็ก,0,ท่าโพธิ์,เมืองพิษณุโลก,4000000,พิษณุโลก,นางศิริลักษณ์ เสน่หา,3.0
