_id,ประเภทรถ,ปี,จำนวน,ชนิดเชื้อเพลิง
225,รย. 9 รถยนต์บริการธุรกิจ,2566,0,เบนซิน-ไฟฟ้า
226,รย. 10 รถยนต์บริการทัศนาจร,2566,0,เบนซิน-ไฟฟ้า
227,รย. 11 รถยนต์บริการให้เช่า,2566,0,เบนซิน-ไฟฟ้า
228,รย. 12 รถจักรยานยนต์,2566,0,เบนซิน-ไฟฟ้า
229,รย. 13 รถแทร็กเตอร์,2566,0,เบนซิน-ไฟฟ้า
230,รย. 14 รถบดถนน,2566,0,เบนซิน-ไฟฟ้า
231,รย. 15 รถใช้ในงานเกษตรกรรม,2566,0,เบนซิน-ไฟฟ้า
232,รย. 16 รถพ่วง,2566,0,เบนซิน-ไฟฟ้า
233,รย. 17 รถจักรยานยนต์สาธารณะ,2566,0,เบนซิน-ไฟฟ้า
234,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2566,0,เบนซิน-ไฟฟ้า
235,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2566,8,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
236,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2566,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
237,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2566,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
238,รย. 4 รถยนต์สามล้อส่วนบุคคล,2566,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
239,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2566,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
240,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2566,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
241,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2566,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
242,รย. 8 รถยนต์รับจ้างสามล้อ,2566,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
243,รย. 9 รถยนต์บริการธุรกิจ,2566,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
244,รย. 10 รถยนต์บริการทัศนาจร,2566,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
245,รย. 11 รถยนต์บริการให้เช่า,2566,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
246,รย. 12 รถจักรยานยนต์,2566,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
247,รย. 13 รถแทร็กเตอร์,2566,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
248,รย. 14 รถบดถนน,2566,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
249,รย. 15 รถใช้ในงานเกษตรกรรม,2566,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
250,รย. 16 รถพ่วง,2566,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
251,รย. 17 รถจักรยานยนต์สาธารณะ,2566,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
252,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2566,0,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก
253,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2567,430,เบนซิน
254,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2567,1,เบนซิน
255,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2567,4,เบนซิน
256,รย. 4 รถยนต์สามล้อส่วนบุคคล,2567,0,เบนซิน
257,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2567,0,เบนซิน
258,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2567,0,เบนซิน
259,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2567,0,เบนซิน
260,รย. 8 รถยนต์รับจ้างสามล้อ,2567,0,เบนซิน
261,รย. 9 รถยนต์บริการธุรกิจ,2567,0,เบนซิน
262,รย. 10 รถยนต์บริการทัศนาจร,2567,0,เบนซิน
263,รย. 11 รถยนต์บริการให้เช่า,2567,0,เบนซิน
264,รย. 12 รถจักรยานยนต์,2567,"6,849",เบนซิน
265,รย. 13 รถแทร็กเตอร์,2567,0,เบนซิน
266,รย. 14 รถบดถนน,2567,0,เบนซิน
267,รย. 15 รถใช้ในงานเกษตรกรรม,2567,0,เบนซิน
268,รย. 16 รถพ่วง,2567,0,เบนซิน
269,รย. 17 รถจักรยานยนต์สาธารณะ,2567,0,เบนซิน
270,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,2567,0,เบนซิน
271,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,2567,714,ดีเซล
272,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,2567,10,ดีเซล
273,รย. 3 รถยนต์บรรทุกส่วนบุคคล,2567,583,ดีเซล
274,รย. 4 รถยนต์สามล้อส่วนบุคคล,2567,0,ดีเซล
275,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,2567,0,ดีเซล
276,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,2567,0,ดีเซล
277,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),2567,0,ดีเซล
278,รย. 8 รถยนต์รับจ้างสามล้อ,2567,0,ดีเซล
279,รย. 9 รถยนต์บริการธุรกิจ,2567,0,ดีเซล
280,รย. 10 รถยนต์บริการทัศนาจร,2567,0,ดีเซล
281,รย. 11 รถยนต์บริการให้เช่า,2567,0,ดีเซล
282,รย. 12 รถจักรยานยนต์,2567,0,ดีเซล
